year,all_ages,under_age_65,aged_65_or_older,people_2,people_3,people_4,CPI,yearly_min_wage
1959,1467,1503,1397,1894,2324,2973,29.2,2000
1960,1490,1526,1418,1924,2359,3022,29.6,2000
1961,1506,1545,1433,1942,2383,3054,29.9,2320
1962,1519,1562,1451,1962,2412,3089,30.3,2320
1963,1539,1581,1470,1988,2442,3128,30.6,2500
1964,1558,1601,1488,2015,2473,3169,31.0,2500
1965,1582,1626,1512,2048,2514,3223,31.5,2500
1966,1628,1674,1556,2107,2588,3317,32.5,2500
1967,1675,1722,1600,2168,2661,3410,33.4,2800
1968,1748,1797,1667,2262,2774,3553,34.8,3200
1969,1840,1893,1757,2383,2924,3743,36.7,3200
1970,1954,2010,1861,2525,3099,3968,38.8,3200
1971,2040,2098,1940,2633,3229,4137,40.5,3200
1972,2109,2168,2005,2724,3339,4275,41.8,3200
1973,2247,2307,2130,2895,3548,4540,44.4,3200
1974,2495,2562,2364,3211,3936,5038,49.3,4000
1975,2724,2797,2581,3506,4293,5500,53.8,4200
1976,2884,2959,2730,3711,4540,5815,56.9,4600
1977,3075,3152,2906,3951,4833,6191,60.6,4600
1978,3311,3392,3127,4249,5201,6662,65.2,5300
1979,3689,3778,3479,4725,5784,7412,72.6,5800
1980,4190,4290,3949,5363,6565,8414,82.4,6200
1981,4620,4729,4359,5917,7250,9287,90.9,6700
1982,4901,5019,4626,6281,7693,9862,96.5,6700
1983,5061,5180,4775,6483,7938,10178,99.6,6700
1984,5278,5400,4979,6762,8277,10609,103.9,6700
1985,5469,5593,5156,6998,8573,10989,107.6,6700
1986,5572,5701,5255,7138,8737,11203,109.6,6700
1987,5778,5909,5447,7397,9056,11611,113.6,6700
1988,6022,6155,5674,7704,9435,12092,118.3,6700
1989,6310,6451,5947,8076,9885,12674,124.0,6700
1990,6652,6800,6268,8509,10419,13359,130.7,7600
1991,6932,7086,6532,8865,10860,13924,136.2,8500
1992,7143,7299,6729,9137,11186,14335,140.3,8500
1993,7363,7518,6930,9414,11522,14763,144.5,8500
1994,7547,7710,7108,9661,11821,15141,148.2,8500
1995,7763,7929,7309,9933,12158,15569,152.4,8500
1996,7995,8163,7525,10233,12516,16036,156.9,9500
1997,8183,8350,7698,10473,12802,16400,160.5,10300
1998,8316,8480,7818,10634,13003,16660,163.0,10300
1999,8499,8667,7990,10864,13289,17030,166.6,10300
2000,8791,8959,8259,11235,13740,17604,172.2,10300
2001,9039,9214,8494,11569,14128,18104,177.1,10300
2002,9183,9359,8628,11756,14348,18392,179.9,10300
2003,9393,9573,8825,12015,14680,18810,184.0,10300
2004,9646,9827,9060,12335,15066,19307,188.900,10300
2005,9973,10160,9367,12755,15577,19971,195.300,10300
2006,10294,10488,9669,13167,16079,20614,201.600,10300
2007,10590,10787,9944,13540,16530,21203,207.342,11700
2008,10991,11201,10326,14051,17163,22025,215.303,13100
2009,10956,11161,10289,13991,17098,21954,214.537,14500
2010,11137,11344,10458,14216,17373,22315,218.056,14500
2011,11484,11702,10788,14657,17916,23021,224.939,14500
2012,11720,11945,11011,14937,18284,23492,229.594,14500
2013,11888,12119,11173,15142,18552,23834,232.957,14500
2013,11880,12119,11173,15139,18554,23844,232.957,14500
2014,12071,12316,11354,15379,18850,24230,236.736,14500
2015,12082,12331,11367,15391,18871,24257,237.017,14500
2016,12228,12486,11511,15569,19105,24563,240.007,14500
2017,12488,12752,11756,15877,19515,25094,245.120,14500
2018,12140,,,16460,20780,,,14500
2019,12490,,,16910,21330,,,14500
