year,yearly_min_wage
1959,2000
1960,2000
1961,2320
1962,2320
1963,2500
1964,2500
1965,2500
1966,2500
1967,2800
1968,3200
1969,3200
1970,3200
1971,3200
1972,3200
1973,3200
1974,4000
1975,4200
1976,4600
1977,4600
1978,5300
1979,5800
1980,6200
1981,6700
1982,6700
1983,6700
1984,6700
1985,6700
1986,6700
1987,6700
1988,6700
1989,6700
1990,7600
1991,8500
1992,8500
1993,8500
1994,8500
1995,8500
1996,9500
1997,10300
1998,10300
1999,10300
2000,10300
2001,10300
2002,10300
2003,10300
2004,10300
2005,10300
2006,10300
2007,11700
2008,13100
2009,14500
2010,14500
2011,14500
2012,14500
2013,14500
2014,14500
2015,14500
2016,14500
2017,14500
2018,14500
2019,14500
